Search Term,Tweet Text,URL
buzzfeed,"RT @BraddJaffy: HHS Sec. says he's “not aware” that GOP health bill includes tax break for insurance execs making $500,000+

It does https:…",
buzzfeed,"RT @BraddJaffy: HHS Sec. says he's “not aware” that GOP health bill includes tax break for insurance execs making $500,000+

It does https:…",
buzzfeed,Why #ThisIsUs Is TV’s Most Important Hit https://t.co/RrUB0Hu3dD via @KateAurthur,https://www.buzzfeed.com/kateaurthur/why-this-is-us-is-tvs-most-important-hit?utm_term=.imWPdd7wD
buzzfeed,"RT @RonWyden: Going against campaign promises to help hardworking Americans, GOP sides with federal contractors over their workers https://…",
buzzfeed,This person found Jesus on Tinder and it’s hilarious https://t.co/hwIRm4ejcV via @matwhi,https://www.buzzfeed.com/matwhitehead/jesus-christ-superlike?utm_term=.kjr4Wbpm3
buzzfeed,RT @NCCWSL: In honor of #WomensHistoryMonth: 15 Historical #Women They Should Have Taught You About in School: https://t.co/OgCZkXS0Q8 (via…,http://bzfd.it/2nah6vc
buzzfeed,"RT @EYEWITNESS_UK: Reasons why #Eyewitness deserves so much ❤❤#SaveEyewitness @netflix  please!! @hulu 
 https://t.co/RtikSg4yan via @buzzf…",https://www.buzzfeed.com/philkas/why-you-should-watch-eyewitness-2q980?utm_term=.nqLmJLqPx
buzzfeed,RT @BuzzFeedLGBT: This Dad Got His Daughter A Rainbow Umbrella For The Most Heartfelt Reason https://t.co/zIMTiXgELY https://t.co/yJy2BhnAYr,https://www.buzzfeed.com/victoriasanusi/be-you-be-true-be-awesome?utm_term=.ctREEqMa5Z#.nkl44GQo1Z
buzzfeed,"RT @BraddJaffy: HHS Sec. says he's “not aware” that GOP health bill includes tax break for insurance execs making $500,000+

It does https:…",
buzzfeed,"RT @BraddJaffy: HHS Sec. says he's “not aware” that GOP health bill includes tax break for insurance execs making $500,000+

It does https:…",
buzzfeed,I ❤ Parks and Rec https://t.co/Hw86t5CjYZ,https://www.buzzfeed.com/andyneuenschwander/can-you-get-through-this-parks-rec-p?utm_term=.argJyzvLK8#.argJyzvLK8
buzzfeed,"RT @BraddJaffy: HHS Sec. says he's “not aware” that GOP health bill includes tax break for insurance execs making $500,000+

It does https:…",
